Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,First_Flr_SF,Second_Flr_SF,Bedroom_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Area,Garage_Cond,Wood_Deck_SF,Mo_Sold,Year_Sold,Bsmt_Baths,Baths,Total_SF_Floors,Porch_Area,Mean_Price_Neigh,MS_SubClass_One_Story_1945_and_Older,MS_Zoning_Residential_Low_Density,Lot_Shape_Regular,Land_Contour_HLS,Lot_Config_Corner,Lot_Config_Inside,Land_Slope_Gtl,Roof_Style_Gable,Exterior_1st_Wd Sdng,Exterior_2nd_MetalSd,Exterior_2nd_VinylSd,Mas_Vnr_Type_Stone,Foundation_CBlock,Central_Air_N,Garage_Type_Attchd,Garage_Finish_RFn,Paved_Drive_Dirt_Gravel,Paved_Drive_Paved,Sale_Type_WD ,Sale_Condition_Abnorml,Sale_Condition_Family,Sale_Condition_Normal,Sale_Price
44,4750,7,3,2006,2007,481,2,1,4,2,4,6,3,0,1573,4,1625,0,2,3,5,1,4,538,2,123,12,2007,2.0,2.0,1625.0,0.0,207550.83495145632,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,235000
0,8883,6,3,1988,1988,360,2,1,4,2,1,6,3,0,929,4,946,927,3,3,7,1,2,619,2,108,5,2007,1.0,3.0,1873.0,48.0,184070.184,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,207000
58,10110,8,3,2008,2008,492,3,1,4,2,1,6,3,1486,1858,4,1866,0,2,4,7,1,4,870,2,0,11,2008,1.0,2.0,1866.0,49.0,322018.265060241,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,336860
65,7441,6,3,2006,2006,170,2,1,4,2,1,1,7,1461,1461,4,1486,0,3,3,7,0,0,566,2,0,6,2007,0.0,2.0,1486.0,33.0,184070.184,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,181000
53,5350,6,7,1920,1965,0,0,1,2,2,1,4,2,508,624,4,730,720,3,1,7,0,0,288,2,0,3,2008,0.0,1.0,1450.0,193.0,123991.89121338911,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,132000
0,15896,6,3,1999,1999,210,2,1,4,2,1,5,1,264,1177,4,1223,1089,4,3,8,1,2,658,2,298,5,2009,1.0,3.0,2312.0,0.0,190646.57575757572,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,245000
24,1488,4,4,1980,1992,0,0,3,4,2,2,5,1,90,561,1,561,668,2,3,5,1,2,462,2,176,10,2009,1.0,2.0,1229.0,0.0,143590.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,137000
63,10928,6,3,2005,2005,0,2,1,4,4,1,1,7,728,728,4,728,728,3,3,8,1,4,390,2,100,6,2009,0.0,3.0,1456.0,0.0,190646.57575757572,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,184000
60,6876,4,4,1938,1958,0,0,1,2,2,1,1,7,1272,1272,1,1272,0,4,1,9,1,4,400,2,0,11,2008,0.0,2.0,1272.0,35.0,103752.90322580644,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,141000
40,3951,4,3,2009,2009,76,2,1,4,2,3,1,7,612,612,4,612,612,2,3,4,0,0,528,2,0,6,2009,0.0,3.0,1224.0,235.0,229707.32417582415,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,164500
70,8400,3,4,1968,1968,0,0,1,4,2,4,6,3,89,833,3,898,0,3,1,6,0,0,326,2,143,8,2006,1.0,1.0,898.0,0.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,140000
90,9900,4,3,1967,1967,0,2,1,2,2,1,3,6,507,1680,1,1691,0,2,1,5,0,0,550,2,0,4,2009,1.0,1.0,1691.0,328.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,175000
75,13125,6,4,1940,1984,0,0,1,2,2,1,4,2,390,800,1,960,780,3,1,6,2,4,240,2,0,7,2007,0.0,2.0,1740.0,0.0,207550.83495145632,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,219500
64,7018,3,3,1979,1979,275,0,1,4,2,3,6,3,0,1086,1,1224,0,2,1,6,2,2,528,2,120,6,2009,2.0,2.0,1224.0,0.0,184070.184,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,153337
62,10441,3,3,1992,1992,0,0,1,4,2,3,6,3,575,912,1,970,0,3,1,6,0,0,0,0,80,7,2006,1.0,1.0,970.0,33.0,162226.63157894736,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,132000
72,8640,7,3,2007,2007,0,2,1,4,2,3,6,3,546,896,4,896,896,3,3,8,0,0,590,2,184,11,2007,0.0,3.0,1792.0,97.0,229707.32417582415,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,255000
60,7200,6,3,2006,2006,0,2,1,4,4,1,1,7,1293,1293,4,1301,0,2,3,5,1,4,572,2,216,8,2006,1.0,2.0,1301.0,122.0,229707.32417582415,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,187750
76,11388,2,6,1910,1993,0,0,1,2,2,1,1,7,616,616,1,1055,218,3,3,5,0,0,275,3,212,9,2006,0.0,1.0,1273.0,0.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,121000
74,10206,5,5,1952,1952,0,0,1,0,0,0,0,5,0,0,2,944,0,2,2,4,0,0,528,3,0,7,2009,0.0,1.0,944.0,0.0,130843.38144329896,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,82000
0,7390,3,6,1955,1955,151,0,1,2,2,1,5,1,196,1098,1,1098,0,3,1,6,0,0,260,2,0,7,2008,1.0,1.0,1098.0,0.0,145097.34988713317,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,135000
0,10020,0,0,1922,1950,0,1,2,3,1,4,4,2,333,683,3,904,0,1,2,4,0,0,0,0,0,3,2009,1.0,1.0,904.0,0.0,130843.38144329896,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,61000
60,8172,3,6,1955,1990,0,0,1,2,2,1,3,6,697,864,1,864,0,2,1,5,0,0,572,2,0,4,2006,1.0,1.0,864.0,0.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,115000
85,11050,4,3,1968,1968,0,0,1,2,2,1,3,6,1439,1740,2,1740,0,4,1,8,1,2,512,2,25,10,2008,0.0,2.0,1740.0,0.0,188406.90839694656,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,150000
0,12285,6,4,1960,1960,128,0,1,2,2,1,4,2,785,1329,3,1329,0,3,1,5,2,4,441,2,0,8,2009,0.0,2.0,1329.0,204.0,145097.34988713317,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,176000
78,12168,7,4,1934,1998,0,0,1,4,2,2,4,2,537,965,1,1940,1254,4,1,10,2,4,380,2,0,9,2007,0.0,3.0,3194.0,0.0,207550.83495145632,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,359100
80,9200,4,3,1965,1965,98,0,1,2,2,4,6,3,548,1042,1,1042,0,3,1,5,0,0,440,2,192,5,2007,0.0,2.0,1042.0,0.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,161000
60,6324,2,4,1927,1950,0,0,1,2,2,1,1,7,520,520,2,520,0,1,2,4,0,0,240,2,49,5,2008,0.0,1.0,520.0,88.0,124756.25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,68500
69,14850,3,3,1957,1957,0,0,1,2,2,1,3,6,197,1092,1,1092,0,2,1,6,1,2,299,2,268,5,2006,1.0,1.0,1092.0,0.0,145097.34988713317,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,141000
63,9750,3,3,1962,1962,0,0,1,2,2,1,2,4,28,980,3,980,0,3,1,5,0,0,400,2,0,11,2009,1.0,1.0,980.0,29.0,136751.1523178808,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,110000
0,9200,3,4,1975,1980,0,0,1,4,2,3,2,4,167,938,1,938,0,3,1,5,0,0,308,2,145,7,2008,1.0,1.0,938.0,0.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,130250
60,9600,3,4,1950,1950,0,0,1,2,2,1,4,2,810,1200,1,1200,0,3,1,6,0,0,246,2,126,8,2009,0.0,1.0,1200.0,0.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,129900
65,12257,7,3,1995,1995,513,2,1,4,2,3,2,4,1198,1318,4,1328,1203,4,3,9,1,2,752,2,222,11,2007,0.0,3.0,2531.0,99.0,330319.1267605634,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,290000
65,7150,3,4,1966,1966,52,0,1,2,2,1,4,2,263,988,1,988,0,3,1,5,0,0,360,2,0,11,2007,1.0,1.0,988.0,0.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,129250
90,22950,9,8,1892,1993,0,2,3,2,2,2,1,7,1107,1107,4,1518,1518,4,4,12,2,2,840,2,0,6,2006,0.0,3.0,3036.0,260.0,123991.89121338911,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,475000
54,7244,3,6,1970,1970,0,0,3,4,2,3,5,1,149,768,4,768,0,2,1,5,0,0,624,2,104,4,2007,1.0,1.0,768.0,0.0,162226.63157894736,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,129500
0,12585,7,3,1993,1993,420,2,1,4,2,1,2,4,0,1286,4,1565,1234,3,3,8,1,2,704,2,432,10,2006,1.0,3.0,2799.0,137.0,330319.1267605634,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,315000
65,12438,4,3,1995,1995,68,2,1,4,2,1,1,7,781,781,4,795,704,3,3,6,1,2,473,2,413,8,2006,0.0,3.0,1499.0,92.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,187000
70,8402,3,3,2007,2007,0,0,1,4,2,1,5,1,914,1120,4,1120,0,3,1,6,0,0,0,0,0,12,2007,0.0,1.0,1120.0,31.0,162226.63157894736,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,147000
57,9245,3,3,1994,1995,0,0,1,4,2,1,6,3,304,990,4,990,0,3,1,5,0,0,672,2,0,2,2008,1.0,1.0,990.0,0.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,145000
60,8064,4,4,1948,1950,0,0,1,2,2,1,5,1,453,768,4,819,501,3,1,5,0,0,576,2,108,9,2008,0.0,2.0,1320.0,0.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,138000
103,11175,6,3,2007,2007,0,2,1,4,2,3,1,7,1316,1316,4,1316,0,3,3,6,1,4,440,2,0,10,2007,0.0,2.0,1316.0,21.0,201803.43445692884,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,200141
55,7264,6,6,1925,2007,0,2,3,2,2,1,1,7,952,952,3,952,596,3,4,5,0,0,672,2,74,10,2009,0.0,3.0,1548.0,0.0,124756.25,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,205000
70,8400,4,4,1980,1981,130,0,1,4,2,1,1,7,650,650,1,888,676,3,1,7,1,2,476,2,0,4,2010,0.0,3.0,1564.0,50.0,184070.184,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,171000
67,10566,7,3,1999,1999,261,2,1,4,2,3,6,3,170,1090,4,1090,1124,3,3,8,1,2,646,2,197,7,2006,1.0,3.0,2214.0,81.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,268500
0,23730,6,3,1996,1997,668,2,1,5,2,2,6,3,1140,1840,4,2032,0,3,3,7,0,0,786,2,0,9,2008,1.0,3.0,2032.0,239.0,162226.63157894736,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,300000
80,8700,3,4,1963,1963,148,0,3,2,2,2,5,1,344,1120,3,1128,0,3,1,6,0,0,525,2,192,12,2008,1.0,2.0,1128.0,144.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,155000
64,7848,6,4,1999,1999,0,0,1,2,2,1,1,7,384,384,4,774,656,3,1,7,1,2,410,2,0,6,2009,0.0,3.0,1430.0,0.0,190646.57575757572,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,168000
50,7500,4,4,1947,1950,0,0,1,2,2,1,1,7,784,784,4,900,412,3,1,6,0,0,649,2,0,10,2006,0.0,2.0,1312.0,29.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,127000
67,12354,4,7,1920,2000,0,0,1,2,3,2,1,7,684,684,3,684,512,3,3,7,0,0,528,2,0,8,2009,0.0,1.0,1196.0,47.0,130843.38144329896,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,110000
30,4420,7,3,1980,1980,0,2,1,4,2,4,6,3,0,728,1,788,0,1,3,3,1,2,484,2,133,6,2010,1.0,1.0,788.0,43.0,193531.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,155000
68,9272,6,3,1999,1999,0,2,1,4,2,1,6,3,342,842,4,856,893,3,3,7,0,0,515,2,140,6,2006,0.0,3.0,1749.0,86.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,196000
0,8658,4,3,2000,2000,0,0,1,4,2,1,5,1,250,982,4,1008,881,3,1,9,1,2,431,2,0,4,2006,0.0,3.0,1889.0,0.0,190646.57575757572,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,215000
90,18261,8,3,2005,2005,420,3,1,5,2,4,6,3,494,1910,4,2000,0,3,4,8,2,4,722,2,351,9,2006,1.0,3.0,2000.0,102.0,324229.1960784314,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,470000
70,8749,6,3,2002,2002,100,2,1,4,2,1,1,7,1459,1459,4,1459,0,3,3,6,1,4,527,2,192,9,2007,0.0,2.0,1459.0,40.0,201803.43445692884,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,192000
0,11800,6,3,2003,2004,94,2,1,4,2,4,6,3,356,1122,4,1146,1340,5,3,10,1,4,452,2,143,7,2007,1.0,4.0,2486.0,33.0,246599.54166666663,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,279900
60,10320,3,7,1912,1991,0,0,1,3,2,1,1,7,451,451,1,759,0,1,1,5,0,0,576,2,40,8,2008,0.0,1.0,759.0,0.0,103752.90322580644,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,85000
85,10936,7,3,2006,2006,60,2,1,4,2,1,1,7,1504,1504,4,1504,0,3,3,7,0,0,510,2,144,9,2006,0.0,2.0,1504.0,0.0,229707.32417582415,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,199000
0,12205,4,7,1966,2007,157,0,1,2,3,4,2,4,264,832,3,976,1111,5,3,9,0,0,444,2,133,7,2007,0.0,3.0,2087.0,169.0,208662.0909090909,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,187500
160,18160,4,4,1964,1964,138,0,1,2,2,3,4,2,752,1302,2,1128,0,3,1,6,1,2,480,2,0,3,2007,1.0,1.0,1128.0,355.0,190646.57575757572,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,154204
60,10800,4,4,1940,1950,0,0,1,2,2,1,4,2,294,884,1,884,552,3,1,8,2,4,828,2,0,5,2008,0.0,2.0,1436.0,127.0,123991.89121338911,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,155000
60,8400,1,3,1920,1950,0,0,1,2,3,1,3,6,0,290,1,438,0,1,2,3,0,0,246,2,0,1,2009,0.0,1.0,438.0,0.0,135071.9375,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,60000
