MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Bsmt_Baths,Baths,Total_SF_Floors,Pool_Presence,Porch_Presence,Porch_Area,Mean_Price_Neigh,Actual Value,Predicted Value,Difference
One_Story_PUD_1946_and_Newer,Residential_Medium_Density,41,5748,1,0,Slightly_Irregular,HLS,1,Inside,Mod,Crawford,Norm,1,TwnhsE,One_Story,7,3,2005,2006,Hip,1,CemntBd,CmentBd,Stone,473,2,1,PConc,5,2,4,6,3,1,0,0,1573,GasA,4,Y,1778,0,0,2,1,4,5,Typ,1,4,Attchd,Fin,495,2,2,Paved,123,None,0,2,2006,New,Partial,2.0,2.0,1778.0,0.0,1.0,53.0,207550.83495145632,375000,326671.06908618566,48328.93091381434
One_Story_PUD_1946_and_Newer,Residential_High_Density,26,10943,1,0,Moderately_Irregular,Lvl,1,FR2,Gtl,North_Ames,Norm,1,TwnhsE,One_Story,4,3,1997,1998,Gable,1,MetalSd,MetalSd,None,0,2,1,PConc,4,2,1,6,3,1,0,475,1405,GasA,4,Y,1337,0,0,2,1,3,5,Typ,1,2,Attchd,Fin,522,2,2,Paved,0,None,0,10,2007,WD ,Normal,1.0,2.0,1337.0,0.0,1.0,69.0,145097.34988713317,177000,196596.53921691698,19596.53921691698
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,68,4080,1,1,Regular,Lvl,1,Inside,Gtl,Old_Town,Norm,1,OneFam,One_and_Half_Fin,4,7,1935,1998,Gable,1,Wd Sdng,Wd Sdng,None,0,0,1,PConc,2,2,1,1,7,1,0,901,901,GasA,3,Y,861,517,0,3,1,3,6,Typ,0,0,Detchd,Unf,162,3,3,Partial_Pavement,54,None,0,6,2009,WD ,Normal,0.0,1.0,1378.0,0.0,1.0,41.0,123991.89121338911,128900,125891.61691870607,3008.383081293927
Two_Story_1946_and_Newer,Residential_Low_Density,90,11700,1,0,Regular,Lvl,1,Corner,Gtl,Northwest_Ames,Norm,1,OneFam,Two_Story,4,4,1968,1968,Gable,1,HdBoard,HdBoard,BrkFace,420,0,1,CBlock,2,2,1,5,1,1,0,304,708,GasA,3,Y,708,708,0,3,1,1,7,Typ,1,2,Attchd,RFn,776,2,2,Paved,0,None,0,5,2006,WD ,Normal,0.0,3.0,1416.0,0.0,1.0,169.0,188406.90839694656,179900,168341.0223651208,11558.977634879207
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,13500,1,0,Regular,Lvl,1,Inside,Gtl,Clear_Creek,Norm,1,OneFam,One_Story,4,6,1960,1975,Flat,1,BrkFace,Plywood,None,0,0,1,CBlock,4,2,4,4,2,5,1080,93,1602,GasA,3,Y,1252,0,0,1,1,1,4,Typ,1,4,Attchd,RFn,564,2,2,Paved,409,None,0,3,2008,WD ,Normal,1.0,1.0,1252.0,0.0,0.0,0.0,208662.0909090909,235000,195879.5864038281,39120.413596171886
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,66,10235,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,College_Creek,Norm,1,OneFam,One_Story,7,3,2007,2007,Gable,1,VinylSd,VinylSd,Stone,306,2,1,PConc,4,2,3,1,7,1,0,1643,1643,GasA,4,Y,1651,0,0,3,1,3,7,Typ,1,4,Attchd,RFn,870,2,2,Paved,192,None,0,9,2007,New,Partial,0.0,2.0,1651.0,0.0,1.0,65.0,201803.43445692884,246500,254707.696308608,8207.696308607992
Duplex_All_Styles_and_Ages,Residential_Low_Density,91,11643,1,0,Regular,Lvl,1,Inside,Gtl,North_Ames,Artery,1,Duplex,Two_Story,3,3,1969,1969,Gable,1,MetalSd,MetalSd,BrkFace,368,0,1,CBlock,2,2,1,2,4,1,0,748,1248,GasA,1,Y,1338,1296,0,6,2,1,12,Typ,0,0,Detchd,Unf,968,2,2,Paved,0,None,0,8,2009,WD ,Normal,2.0,4.0,2634.0,0.0,0.0,0.0,145097.34988713317,200000,182273.45816765193,17726.54183234807
One_Story_1945_and_Older,Residential_Medium_Density,90,8100,1,1,Regular,Lvl,1,Inside,Gtl,Old_Town,Norm,1,OneFam,One_Story,3,4,1948,1973,Gable,1,VinylSd,VinylSd,None,0,0,1,BrkTil,2,2,1,3,6,1,0,1221,1559,GasA,3,Y,1559,0,0,2,1,1,5,Min2,0,0,Detchd,Unf,812,2,2,Paved,0,None,0,6,2007,COD,Normal,1.0,1.0,1559.0,0.0,1.0,347.0,123991.89121338911,153500,146306.7741048465,7193.225895153504
Two_Story_1946_and_Newer,Residential_Low_Density,104,13518,1,0,Regular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,OneFam,Two_Story,8,3,2008,2009,Hip,1,VinylSd,VinylSd,Stone,860,3,1,PConc,5,2,1,1,7,1,0,1926,1926,GasA,4,Y,1966,1174,0,4,1,4,11,Typ,2,4,BuiltIn,Fin,820,2,2,Paved,144,None,0,7,2009,New,Partial,0.0,4.0,3140.0,0.0,1.0,79.0,322018.265060241,485000,487783.5006789278,2783.5006789278123
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,13384,1,0,Regular,Lvl,1,Inside,Mod,Mitchell,Norm,1,OneFam,One_Story,3,3,1969,1979,Gable,1,Plywood,Plywood,BrkFace,194,0,1,PConc,2,2,3,3,6,4,344,641,1104,GasA,2,Y,1360,0,0,3,1,1,8,Typ,1,2,Attchd,RFn,336,2,2,Paved,160,None,0,5,2006,WD ,Normal,1.0,1.0,1360.0,0.0,0.0,0.0,162226.63157894736,140000,152701.43877164245,12701.438771642454
Split_or_Multilevel,Residential_Low_Density,60,8400,1,0,Regular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,SLvl,6,3,1996,1997,Gable,1,HdBoard,HdBoard,BrkFace,32,0,1,PConc,4,2,1,6,3,1,0,100,384,GasA,3,Y,958,670,0,3,1,1,7,Typ,1,2,BuiltIn,Fin,390,2,2,Paved,48,Shed,490,6,2009,WD ,Normal,0.0,3.0,1628.0,0.0,1.0,73.0,190646.57575757572,189000,178460.67984352366,10539.320156476344
Two_Story_1946_and_Newer,Residential_Low_Density,85,10625,1,0,Regular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,OneFam,Two_Story,6,3,2003,2004,Gable,1,VinylSd,VinylSd,BrkFace,292,2,1,PConc,4,2,1,6,3,1,0,132,998,GasA,4,Y,1006,1040,0,3,1,3,8,Typ,1,4,BuiltIn,RFn,871,2,2,Paved,320,None,0,8,2008,WD ,Normal,1.0,3.0,2046.0,0.0,1.0,63.0,322018.265060241,284000,264446.87285120005,19553.127148799947
Two_Story_1946_and_Newer,Residential_Low_Density,73,9802,1,0,Regular,Lvl,1,Inside,Gtl,Timberland,Norm,1,OneFam,Two_Story,3,3,2006,2007,Gable,1,VinylSd,VinylSd,None,0,0,1,PConc,4,2,1,1,7,1,0,384,384,GasA,3,Y,744,700,0,3,1,1,7,Typ,0,0,BuiltIn,Fin,400,2,2,Paved,100,None,0,4,2010,WD ,Normal,0.0,3.0,1444.0,0.0,0.0,0.0,246599.54166666663,174000,159058.78069333135,14941.219306668645
One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,3182,1,0,Regular,Lvl,1,Inside,Gtl,Bloomington_Heights,Norm,1,TwnhsE,One_Story,6,3,2005,2006,Gable,1,VinylSd,VinylSd,BrkFace,16,2,1,PConc,4,2,3,6,3,1,0,1204,1220,GasA,4,Y,1220,0,0,2,1,3,5,Typ,1,4,Attchd,Fin,397,2,2,Paved,100,None,0,8,2009,WD ,Normal,0.0,2.0,1220.0,0.0,1.0,17.0,196661.67857142855,180000,173975.92928118346,6024.07071881654
Two_Story_1946_and_Newer,Residential_Low_Density,70,9370,1,0,Moderately_Irregular,Lvl,1,Inside,Gtl,Sawyer_West,Norm,1,OneFam,Two_Story,4,3,1992,1993,Gable,1,HdBoard,HdBoard,None,0,2,1,PConc,4,2,1,5,1,1,0,78,836,GasA,4,Y,844,887,0,3,1,3,7,Typ,0,0,Attchd,RFn,462,2,2,Paved,307,Othr,3000,10,2006,WD ,Family,1.0,3.0,1731.0,0.0,1.0,85.0,184070.184,248500,194456.41789105829,54043.582108941715
Two_Story_1946_and_Newer,Floating_Village_Residential,64,8791,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Somerset,Norm,1,OneFam,Two_Story,4,3,2003,2003,Gable,1,VinylSd,VinylSd,None,0,2,1,PConc,4,2,1,3,6,1,0,361,864,GasA,4,Y,864,864,0,3,1,3,7,Typ,0,0,Attchd,RFn,673,2,2,Paved,216,None,0,5,2008,WD ,Normal,0.0,3.0,1728.0,0.0,1.0,57.0,229707.32417582415,207500,205463.51452282345,2036.485477176553
One_Story_PUD_1946_and_Newer,Residential_Medium_Density,0,4435,1,0,Regular,Lvl,1,Inside,Gtl,College_Creek,Norm,1,TwnhsE,One_Story,4,3,2003,2004,Gable,1,VinylSd,VinylSd,BrkFace,170,2,1,PConc,4,2,3,6,3,1,0,163,848,GasA,4,Y,848,0,0,1,1,3,4,Typ,0,0,Attchd,Fin,420,2,2,Paved,140,None,0,6,2009,WD ,Normal,1.0,1.0,848.0,0.0,0.0,0.0,201803.43445692884,144000,139105.87970544107,4894.120294558932
Two_Story_1946_and_Newer,Residential_Low_Density,70,8400,1,0,Regular,Lvl,1,Inside,Gtl,Northwest_Ames,Norm,1,OneFam,Two_Story,7,4,2001,2001,Gable,1,VinylSd,VinylSd,None,0,2,1,PConc,4,2,1,6,3,1,0,167,810,GasA,4,Y,810,855,0,3,1,3,6,Typ,0,0,Attchd,Fin,528,2,2,Paved,0,None,0,11,2009,WD ,Normal,1.0,3.0,1665.0,0.0,1.0,46.0,188406.90839694656,227000,214367.06791233673,12632.93208766327
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,60,7200,1,0,Regular,Lvl,1,Inside,Gtl,North_Ames,Norm,1,OneFam,One_Story,3,6,1950,1950,Gable,1,MetalSd,MetalSd,None,0,0,1,CBlock,2,2,1,4,2,3,96,246,876,GasA,1,Y,988,0,0,3,1,1,6,Typ,0,0,Attchd,Unf,276,2,2,Paved,0,None,0,5,2007,WD ,Normal,0.0,1.0,988.0,0.0,1.0,81.0,145097.34988713317,119000,126461.91224428438,7461.91224428438
One_Story_PUD_1946_and_Newer,Residential_Low_Density,50,9466,1,0,Moderately_Irregular,Lvl,1,FR2,Gtl,Veenker,Norm,1,TwnhsE,One_Story,7,3,1994,1995,Gable,1,BrkFace,BrkFace,None,0,2,1,PConc,4,2,4,2,4,5,1037,0,1494,GasA,4,Y,1494,0,0,1,1,3,5,Typ,1,4,Attchd,Fin,478,2,2,Paved,0,None,0,5,2007,WD ,Normal,1.0,2.0,1494.0,0.0,1.0,30.0,248314.5833333333,279700,254165.42778878985,25534.57221121015
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,68,9717,1,0,Regular,Lvl,1,Inside,Gtl,North_Ames,Norm,1,OneFam,One_Story,3,4,1950,1996,Hip,1,MetalSd,MetalSd,None,0,0,1,CBlock,2,2,2,6,3,3,1029,0,1078,GasA,3,Y,1078,0,0,2,1,3,5,Typ,0,0,Attchd,Unf,240,2,2,Paved,366,None,0,4,2010,WD ,Normal,1.0,1.0,1078.0,0.0,1.0,113.0,145097.34988713317,142125,145282.79655436755,3157.7965543675527
One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,75,9000,1,0,Regular,Lvl,1,Inside,Gtl,Somerset,Norm,1,OneFam,One_Story,7,3,2008,2008,Gable,1,VinylSd,VinylSd,Stone,36,2,1,PConc,4,2,3,6,3,1,0,488,1566,GasA,4,Y,1566,0,0,3,1,3,7,Typ,0,0,Attchd,RFn,750,2,2,Paved,144,None,0,4,2010,WD ,Normal,1.0,2.0,1566.0,0.0,1.0,169.0,229707.32417582415,262500,254002.90972399263,8497.090276007366
Two_Story_1946_and_Newer,Residential_Low_Density,65,10237,1,0,Regular,Lvl,1,Inside,Gtl,Gilbert,RRAn,1,OneFam,Two_Story,4,3,2005,2006,Gable,1,VinylSd,VinylSd,None,0,2,1,PConc,4,2,1,1,7,1,0,728,728,GasA,4,Y,728,728,0,3,1,3,8,Typ,1,4,Attchd,Fin,390,2,2,Paved,0,None,0,2,2006,New,Partial,0.0,3.0,1456.0,0.0,1.0,25.0,190646.57575757572,170440,168725.44301308683,1714.5569869131723
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,74,11563,1,0,Slightly_Irregular,HLS,1,Inside,Gtl,Timberland,Norm,1,OneFam,One_Story,7,3,2006,2007,Hip,1,VinylSd,VinylSd,Stone,258,2,1,PConc,5,2,4,6,3,1,0,482,1518,GasA,4,Y,1537,0,0,3,1,3,8,Typ,0,0,Attchd,Fin,788,2,2,Paved,0,None,0,4,2008,WD ,Normal,1.0,2.0,1537.0,0.0,1.0,27.0,246599.54166666663,294000,269100.2328012309,24899.767198769085
Two_Story_1946_and_Newer,Residential_Low_Density,60,6931,1,0,Regular,Lvl,1,Inside,Gtl,Edwards,Norm,1,OneFam,Two_Story,6,3,2003,2004,Gable,1,VinylSd,VinylSd,Stone,92,2,1,PConc,4,2,1,1,7,1,0,746,746,GasA,4,Y,760,896,0,3,1,3,7,Typ,1,4,BuiltIn,Fin,397,2,2,Paved,178,None,0,7,2008,WD ,Normal,0.0,3.0,1656.0,0.0,1.0,129.0,130843.38144329896,165400,181581.1041376086,16181.104137608607
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,78,10335,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Sawyer,Norm,1,OneFam,One_Story,3,4,1968,1993,Gable,1,Plywood,Plywood,None,0,0,1,CBlock,2,2,1,3,6,1,0,891,1461,GasA,3,Y,1721,0,0,3,1,1,7,Min1,1,2,Attchd,RFn,440,2,2,Paved,0,None,0,7,2006,WD ,Normal,0.0,3.0,1721.0,0.0,1.0,277.0,136751.1523178808,180000,167674.4714187679,12325.528581232094
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,76,9892,1,0,Regular,Lvl,1,Inside,Mod,Mitchell,Norm,1,OneFam,One_Story,7,3,1994,1995,Hip,1,VinylSd,VinylSd,None,0,2,3,PConc,4,4,4,6,3,2,284,54,1679,GasA,4,Y,1803,0,0,3,1,3,6,Typ,2,2,Attchd,Unf,482,2,2,Paved,129,None,0,2,2010,WD ,Normal,2.0,3.0,1803.0,0.0,1.0,287.0,162226.63157894736,285000,290458.73923711583,5458.739237115835
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,115,21286,1,0,Regular,Lvl,1,Inside,Gtl,Sawyer,Norm,1,OneFam,One_and_Half_Fin,3,3,1948,1950,Gable,1,Wd Sdng,Wd Sdng,None,0,0,1,CBlock,2,2,1,1,7,1,0,720,720,GasA,1,Y,720,551,0,4,1,1,7,Typ,1,4,Attchd,Unf,312,2,2,Paved,0,None,0,8,2008,WD ,Normal,0.0,2.0,1271.0,0.0,1.0,109.0,136751.1523178808,135000,139685.09943052835,4685.099430528353
Two_Story_1946_and_Newer,Residential_Low_Density,0,8121,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,Two_Story,4,3,2000,2000,Gable,1,VinylSd,VinylSd,None,0,0,1,PConc,4,2,1,1,7,1,0,953,953,GasA,4,Y,953,711,0,3,1,1,7,Typ,1,2,Attchd,RFn,460,2,2,Paved,100,None,0,1,2006,WD ,Normal,0.0,3.0,1664.0,0.0,1.0,41.0,190646.57575757572,172400,173755.8419249688,1355.8419249687868
One_Story_PUD_1946_and_Newer,Residential_Low_Density,60,8118,1,0,Regular,HLS,1,Inside,Gtl,Stone_Brook,PosN,0,TwnhsE,One_Story,8,3,2007,2007,Hip,1,MetalSd,MetalSd,BrkFace,178,3,1,PConc,5,2,4,6,3,1,0,676,1710,GasA,4,Y,1710,0,0,2,1,4,6,Typ,1,4,Attchd,RFn,557,2,2,Paved,156,None,0,7,2008,WD ,Normal,1.0,2.0,1710.0,0.0,1.0,49.0,324229.1960784314,334000,328462.1274403152,5537.872559684794
One_Story_PUD_1946_and_Newer,Residential_High_Density,34,4058,1,0,Regular,Lvl,1,Inside,Gtl,North_Ames,Norm,1,TwnhsE,SFoyer,6,3,1998,1998,Gable,1,MetalSd,MetalSd,BrkFace,182,0,1,PConc,4,2,3,6,3,2,139,0,723,GasA,4,Y,767,0,0,1,1,1,4,Typ,0,0,Attchd,Fin,367,2,2,Paved,120,None,0,6,2007,WD ,Normal,1.0,1.0,767.0,0.0,1.0,41.0,145097.34988713317,133000,140607.1306273428,7607.130627342791
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,60,5400,1,0,Regular,Lvl,1,Inside,Gtl,Old_Town,Norm,1,OneFam,One_and_Half_Fin,4,4,1920,1950,Gable,1,MetalSd,MetalSd,None,0,1,1,BrkTil,2,2,1,1,7,1,0,972,972,GasA,4,Y,1044,0,436,3,1,1,6,Typ,0,0,Detchd,Unf,207,3,2,Paved,0,None,0,9,2009,ConLI,Family,0.0,1.0,1044.0,0.0,1.0,177.0,123991.89121338911,119000,107574.75678221458,11425.24321778542
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,2217,1,0,Regular,Lvl,1,Inside,Gtl,Meadow_Village,Norm,1,TwnhsE,Two_Story,2,2,1970,1970,Gable,1,CemntBd,CmentBd,None,0,0,1,CBlock,2,2,1,4,2,2,273,0,546,GasA,1,Y,546,546,0,3,1,1,6,Typ,0,0,Attchd,RFn,286,2,2,Paved,238,None,0,8,2009,WD ,Normal,0.0,2.0,1092.0,0.0,0.0,0.0,95756.48648648648,88000,87537.31329474344,462.6867052565649
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,129,16737,1,0,Regular,Lvl,1,FR3,Gtl,Northridge_Heights,Norm,1,OneFam,One_Story,8,3,2004,2005,Hip,1,VinylSd,VinylSd,BrkFace,66,2,1,PConc,5,2,3,6,3,1,0,533,1980,GasA,4,Y,1980,0,0,3,1,4,8,Typ,1,4,Attchd,Fin,770,2,2,Paved,194,None,0,9,2006,WD ,Normal,1.0,2.0,1980.0,0.0,1.0,46.0,322018.265060241,315000,372654.38461163087,57654.38461163087
Two_Story_1945_and_Older,Residential_Medium_Density,42,7614,1,1,Regular,Lvl,1,Inside,Mod,Old_Town,Norm,1,OneFam,Two_Story,5,3,1905,1950,Gable,1,MetalSd,MetalSd,None,0,0,1,BrkTil,2,3,2,1,7,1,0,738,738,GasA,3,Y,714,662,0,2,1,1,7,Typ,0,0,Detchd,Unf,216,2,2,Dirt_Gravel,0,None,0,3,2006,WD ,Normal,0.0,1.0,1376.0,0.0,1.0,104.0,123991.89121338911,96900,88243.29806590515,8656.701934094846
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,51,3500,1,0,Regular,Lvl,1,Inside,Gtl,Brookside,Feedr,1,OneFam,One_and_Half_Fin,5,3,1945,1950,Gable,1,MetalSd,MetalSd,None,0,0,1,CBlock,2,2,1,2,4,1,0,226,370,GasA,1,N,442,228,0,2,1,2,4,Typ,0,0,No_Garage,No_Garage,0,0,0,Dirt_Gravel,0,Shed,2000,7,2007,WD ,Normal,1.0,1.0,670.0,0.0,1.0,22.0,124756.25,64000,54480.29553547253,9519.704464527473
One_and_Half_Story_Finished_All_Ages,Residential_Medium_Density,60,9600,1,1,Regular,Lvl,1,Inside,Gtl,Old_Town,Norm,1,OneFam,One_and_Half_Fin,3,7,1925,1994,Gambrel,1,VinylSd,VinylSd,None,0,0,1,PConc,2,2,2,1,7,1,0,702,702,GasA,3,Y,842,630,0,3,1,3,6,Typ,0,0,Detchd,Unf,250,2,3,Partial_Pavement,0,None,0,7,2007,WD ,Normal,0.0,1.0,1472.0,0.0,1.0,85.0,123991.89121338911,125000,132936.97476672294,7936.9747667229385
Two_Story_1946_and_Newer,Floating_Village_Residential,75,9000,1,0,Regular,Lvl,1,Inside,Gtl,Somerset,Norm,1,OneFam,Two_Story,7,3,2006,2006,Gable,1,VinylSd,VinylSd,None,0,2,1,PConc,4,2,3,1,7,1,0,1088,1088,GasA,4,Y,1088,871,0,3,1,3,8,Typ,1,4,Attchd,RFn,1025,2,2,Paved,208,None,0,12,2007,WD ,Normal,0.0,3.0,1959.0,0.0,1.0,47.0,229707.32417582415,270000,258890.61052713898,11109.389472861018
Two_Story_1946_and_Newer,Residential_Low_Density,0,9019,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Sawyer_West,RRAe,1,OneFam,Two_Story,4,3,1994,1994,Gable,1,VinylSd,VinylSd,None,0,0,1,PConc,4,2,1,5,1,1,0,362,636,GasA,4,Y,636,684,0,3,1,3,6,Typ,0,0,Attchd,Fin,472,2,2,Paved,0,None,0,7,2006,WD ,Normal,0.0,3.0,1320.0,0.0,1.0,41.0,184070.184,150000,152352.66006009054,2352.6600600905367
PUD_Multilevel_Split_Level_Foyer,Residential_Medium_Density,21,1477,1,0,Regular,Lvl,1,Inside,Gtl,Meadow_Village,Norm,1,TwnhsE,SFoyer,2,2,1970,1970,Gable,1,CemntBd,CmentBd,None,0,0,1,CBlock,4,2,3,6,3,1,0,121,630,GasA,1,Y,630,0,0,1,1,1,3,Typ,0,0,Attchd,Unf,286,2,2,Paved,0,None,0,4,2009,WD ,Normal,1.0,1.0,630.0,0.0,0.0,0.0,95756.48648648648,80000,82813.48269216805,2813.4826921680506
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,90,9900,1,0,Regular,Lvl,1,Corner,Gtl,North_Ames,Norm,1,OneFam,One_Story,3,3,1966,1966,Hip,1,HdBoard,HdBoard,None,0,0,1,PConc,4,2,1,4,2,1,0,150,1209,GasA,3,Y,1209,0,0,3,1,1,6,Typ,0,0,Attchd,RFn,504,2,2,Paved,0,None,0,4,2010,ConLD,Normal,1.0,1.0,1209.0,0.0,1.0,121.0,145097.34988713317,159000,145961.37929408028,13038.620705919719
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,48,17043,1,0,Slightly_Irregular,Lvl,1,CulDSac,Gtl,Northwest_Ames,Norm,1,OneFam,One_Story,4,3,1979,1998,Gable,1,HdBoard,HdBoard,None,0,0,3,CBlock,4,3,1,1,7,1,0,1362,1362,GasA,1,Y,1586,0,0,3,1,1,7,Typ,1,2,Attchd,Unf,435,2,2,Paved,192,None,0,1,2009,WD ,Normal,0.0,2.0,1586.0,0.0,0.0,0.0,188406.90839694656,181000,171360.04953464615,9639.950465353846
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,81,7635,1,0,Slightly_Irregular,Lvl,1,Corner,Gtl,North_Ames,Norm,1,OneFam,One_Story,3,4,1960,1960,Gable,1,BrkFace,Wd Sdng,None,0,0,1,CBlock,2,2,1,3,6,2,350,237,1175,GasA,4,Y,1175,0,0,3,1,1,6,Typ,0,0,Detchd,RFn,484,2,2,Paved,0,None,0,6,2010,WD ,Normal,0.0,2.0,1175.0,0.0,0.0,0.0,145097.34988713317,148000,141657.75896013182,6342.241039868182
Duplex_All_Styles_and_Ages,Residential_Low_Density,60,9000,1,0,Regular,Lvl,1,FR2,Gtl,North_Ames,Norm,1,Duplex,Two_Story,3,3,1974,1974,Gable,1,VinylSd,VinylSd,None,0,0,1,CBlock,4,2,1,1,7,1,0,896,896,GasA,1,Y,896,896,0,4,2,1,8,Typ,0,0,No_Garage,No_Garage,0,0,0,Paved,32,None,0,9,2009,WD ,Normal,0.0,4.0,1792.0,0.0,1.0,46.0,145097.34988713317,136000,130953.47361220405,5046.526387795951
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,11088,1,0,Regular,Lvl,1,Corner,Gtl,College_Creek,Norm,1,OneFam,One_Story,7,3,2002,2002,Hip,1,Stucco,Stucco,None,0,2,1,PConc,4,2,1,6,3,1,0,476,1348,GasA,4,Y,1358,0,0,1,1,3,5,Typ,1,2,Attchd,Unf,418,2,2,Paved,68,None,0,6,2006,WD ,Normal,1.0,2.0,1358.0,0.0,1.0,167.0,201803.43445692884,220000,215138.9482347244,4861.051765275595
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,51,10480,1,0,Regular,Lvl,1,Inside,Gtl,South_and_West_of_Iowa_State_University,Norm,1,OneFam,One_and_Half_Fin,4,3,1936,1950,Gable,1,MetalSd,MetalSd,None,0,0,1,BrkTil,2,2,1,1,7,1,0,1064,1064,GasA,4,Y,1166,0,473,3,1,1,6,Maj2,0,0,Detchd,Unf,240,2,2,Paved,0,None,0,3,2008,WD ,Normal,0.0,1.0,1166.0,0.0,0.0,0.0,135071.9375,115000,112830.58831378807,2169.4116862119263
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,76,9591,1,0,Regular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,OneFam,One_Story,7,3,2004,2005,Hip,1,VinylSd,VinylSd,BrkFace,262,2,1,PConc,5,2,3,6,3,1,0,625,1713,GasA,4,Y,1713,0,0,3,1,4,7,Typ,1,4,Attchd,Fin,856,2,2,Paved,0,None,0,1,2009,WD ,Normal,1.0,2.0,1713.0,0.0,1.0,26.0,322018.265060241,274900,314957.0005370757,40057.000537075684
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,60,7200,1,0,Regular,Lvl,1,Corner,Gtl,South_and_West_of_Iowa_State_University,Feedr,1,OneFam,One_and_Half_Fin,3,6,1937,1950,Gable,1,Wd Sdng,Wd Sdng,BrkFace,252,0,1,BrkTil,4,2,1,5,1,1,0,162,731,GasA,4,Y,981,787,0,3,1,3,7,Typ,2,2,Detchd,Unf,240,2,2,Paved,0,None,0,6,2007,WD ,Normal,1.0,2.0,1768.0,0.0,1.0,265.0,135071.9375,175000,163127.06244251685,11872.93755748315
Two_Story_1946_and_Newer,Residential_Low_Density,62,8857,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,Two_Story,4,3,2006,2006,Gable,1,VinylSd,VinylSd,None,0,2,1,PConc,4,2,1,1,7,1,0,738,738,GasA,4,Y,738,757,0,3,1,3,7,Typ,1,4,Attchd,RFn,440,2,2,Paved,100,None,0,3,2007,New,Partial,0.0,3.0,1495.0,0.0,1.0,31.0,190646.57575757572,171925,171110.26126907745,814.7387309225451
One_Story_PUD_1946_and_Newer,Residential_Low_Density,65,5950,1,0,Slightly_Irregular,HLS,1,Inside,Mod,Stone_Brook,Norm,1,TwnhsE,One_Story,7,3,1989,1989,Gable,1,HdBoard,HdBoard,None,0,2,1,PConc,4,2,4,6,3,1,0,1018,1337,GasA,3,Y,1337,0,0,2,1,3,5,Typ,1,2,Attchd,RFn,462,2,2,Paved,0,None,0,4,2008,WD ,Normal,1.0,2.0,1337.0,0.0,1.0,228.0,324229.1960784314,188500,223374.54334833898,34874.54334833898
