Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,First_Flr_SF,Second_Flr_SF,Bedroom_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Area,Garage_Cond,Wood_Deck_SF,Mo_Sold,Year_Sold,Bsmt_Baths,Baths,Total_SF_Floors,Porch_Area,Mean_Price_Neigh,MS_SubClass_One_Story_1945_and_Older,MS_Zoning_Residential_Low_Density,Lot_Shape_Regular,Land_Contour_HLS,Lot_Config_Corner,Lot_Config_Inside,Land_Slope_Gtl,Roof_Style_Gable,Exterior_1st_Wd Sdng,Exterior_2nd_MetalSd,Exterior_2nd_VinylSd,Mas_Vnr_Type_Stone,Foundation_CBlock,Central_Air_N,Garage_Type_Attchd,Garage_Finish_RFn,Paved_Drive_Dirt_Gravel,Paved_Drive_Paved,Sale_Type_WD ,Sale_Condition_Abnorml,Sale_Condition_Family,Sale_Condition_Normal,Actual Value,Predicted Value,Difference
67,8877,2,3,1951,1951,0,0,1,3,3,1,2,4,0,836,1,1220,0,2,1,6,0,0,396,2,0,4,2006,0.0,1.0,1220.0,0.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,102000,131248.5,29248.5
76,9967,6,3,2000,2000,0,0,1,4,2,1,1,7,384,384,4,774,656,3,1,8,1,2,400,2,100,12,2007,0.0,3.0,1430.0,0.0,190646.5757575757,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,170000,178714.16666666666,8714.166666666657
52,6292,6,6,1928,1950,0,0,1,2,2,1,1,7,861,861,3,877,600,3,1,6,1,4,216,2,0,8,2009,1.0,2.0,1477.0,51.0,135071.9375,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,145000,122136.5,22863.5
72,10773,2,5,1967,1967,72,1,2,2,2,1,5,1,1128,1832,1,1832,0,4,1,8,0,0,0,0,0,5,2010,2.0,2.0,1832.0,59.0,136751.1523178808,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,136000,145491.66666666666,9491.666666666657
0,2998,4,3,2000,2000,513,2,1,4,2,1,6,3,403,756,4,768,756,2,3,4,0,0,440,2,0,6,2006,0.0,3.0,1524.0,33.0,229707.32417582412,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,166000,175205.5,9205.5
105,8470,5,1,1915,1982,0,1,2,2,3,1,1,7,1013,1013,1,1013,0,2,2,6,0,0,0,0,0,10,2009,0.0,1.0,1013.0,157.0,103752.90322580644,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,85000,96006.33333333333,11006.333333333328
0,7750,6,3,2000,2000,0,0,1,4,2,1,6,3,134,384,4,774,656,3,1,7,1,2,400,2,180,4,2010,0.0,3.0,1430.0,0.0,190646.5757575757,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,180000,180091.66666666666,91.66666666665697
75,9750,4,4,1958,1958,243,0,1,2,2,1,3,6,834,1442,3,1442,0,4,1,7,0,0,301,2,0,4,2007,0.0,2.0,1442.0,276.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,157900,164666.66666666666,6766.666666666657
79,10208,6,3,1996,1997,921,2,1,4,2,1,1,7,1264,1264,4,1277,1067,3,3,7,1,2,889,2,220,7,2009,0.0,3.0,2344.0,0.0,330319.1267605634,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,265000,289583.3333333333,24583.333333333314
80,9760,4,4,1964,1964,360,0,1,2,2,4,6,3,0,780,1,798,813,4,1,7,0,0,442,2,328,6,2008,1.0,2.0,1611.0,128.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,167900,165500.0,2400.0
0,10784,6,3,1991,1992,76,2,1,4,2,1,1,7,384,384,3,802,670,3,3,7,1,2,402,2,164,5,2007,0.0,3.0,1472.0,0.0,190646.5757575757,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,160000,177414.16666666666,17414.166666666657
76,8243,3,6,1961,1961,56,0,3,2,2,1,5,1,264,964,4,964,0,3,1,5,1,3,784,2,170,2,2007,0.0,1.0,964.0,0.0,145097.34988713317,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,137500,139583.33333333334,2083.333333333343
100,9500,4,4,1964,1978,272,0,1,2,2,1,3,6,374,816,1,1127,850,4,1,9,1,2,540,2,0,6,2007,1.0,2.0,1977.0,53.0,145097.34988713317,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,165000,160166.66666666666,4833.333333333343
0,11029,4,6,1968,1984,220,0,1,2,2,2,4,2,435,1054,1,1512,1142,4,3,9,1,4,619,2,0,8,2006,1.0,3.0,2654.0,65.0,188406.90839694656,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,250000,214425.0,35575.0
80,8800,4,6,1965,2000,0,0,3,2,2,2,5,1,34,1187,4,1565,0,3,3,7,2,2,299,2,200,6,2006,1.0,2.0,1565.0,237.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,185900,158316.66666666666,27583.333333333343
0,4765,8,3,2000,2000,260,2,1,4,2,3,6,3,587,1614,4,1638,0,2,4,5,1,2,495,2,230,7,2008,1.0,2.0,1638.0,69.0,229707.32417582412,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,300000,214483.33333333334,85516.66666666666
0,11120,4,4,1984,1984,0,0,1,4,2,1,4,2,572,1232,1,1232,0,3,1,6,0,0,516,2,0,6,2008,0.0,2.0,1232.0,0.0,248314.5833333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,162500,206000.0,43500.0
50,7689,3,7,1972,1972,0,0,1,4,2,3,6,3,0,796,3,796,0,2,1,4,0,0,336,2,138,7,2009,1.0,1.0,796.0,0.0,162226.63157894736,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,131900,133583.33333333334,1683.333333333343
75,9533,3,3,1953,1953,140,0,1,0,0,0,0,5,0,0,1,1210,0,2,1,7,0,0,616,2,208,8,2009,0.0,2.0,1210.0,101.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,102900,144166.66666666666,41266.66666666666
44,7390,8,3,2008,2009,308,3,1,5,2,1,6,3,1084,1884,4,1884,0,2,4,6,1,4,649,2,231,5,2009,1.0,2.0,1884.0,91.0,322018.265060241,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,320000,239718.5,80281.5
30,3180,6,3,2007,2007,0,2,1,4,2,1,1,7,689,689,4,703,689,2,3,5,0,0,540,2,0,3,2008,0.0,2.0,1392.0,103.0,229707.32417582412,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,146000,161605.5,15605.5
93,10481,7,3,2006,2007,0,2,1,4,2,3,1,7,2140,2140,4,2140,0,3,3,8,0,0,894,2,136,6,2007,0.0,3.0,2140.0,33.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,360000,231264.33333333334,128735.66666666666
60,7200,6,4,1931,2000,0,0,2,4,2,1,1,7,776,776,1,851,651,3,1,6,1,4,270,2,0,2,2008,0.0,2.0,1502.0,113.0,207550.83495145632,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,149000,175408.33333333334,26408.333333333343
0,11382,4,3,1964,1964,212,0,1,2,2,1,5,1,533,1130,1,1374,0,3,1,7,1,2,286,2,0,8,2007,1.0,1.0,1374.0,113.0,145097.34988713317,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,147000,163333.33333333334,16333.333333333343
60,7200,3,6,1951,2000,0,0,1,2,2,2,4,2,180,900,1,900,0,3,3,5,0,0,576,2,222,5,2010,1.0,1.0,900.0,33.0,145097.34988713317,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,134800,119285.0,15515.0
68,8846,4,3,2005,2006,0,0,1,4,2,1,1,7,750,750,4,750,750,3,3,6,0,0,564,2,0,8,2006,0.0,3.0,1500.0,36.0,201803.43445692884,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,173900,189362.5,15462.5
54,9399,6,7,1919,1950,0,0,1,2,2,2,1,7,818,818,1,818,818,4,3,7,1,4,288,2,0,9,2006,0.0,2.0,1636.0,213.0,207550.83495145632,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,167000,184396.0,17396.0
83,13159,6,3,2009,2009,0,0,1,5,2,3,1,7,846,846,3,846,846,3,3,6,0,0,650,2,208,7,2009,0.0,3.0,1692.0,115.0,246599.54166666663,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,224500,244611.33333333334,20111.333333333343
71,9204,3,3,1963,1963,0,0,1,2,2,1,4,2,247,1144,1,1144,0,3,1,6,0,0,336,2,0,8,2008,1.0,2.0,1144.0,89.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,124000,141733.33333333334,17733.333333333343
41,10905,6,3,2003,2003,0,2,1,4,2,1,1,7,1129,1129,4,1129,1198,4,3,9,1,4,596,2,0,8,2008,0.0,3.0,2327.0,58.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,240000,219383.33333333334,20616.666666666657
37,3316,7,3,2005,2005,0,2,1,4,2,1,6,3,208,1247,4,1247,0,1,3,4,1,4,550,2,0,4,2006,1.0,2.0,1247.0,85.0,229707.32417582412,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,197000,181150.0,15850.0
0,10400,6,3,2001,2001,227,2,1,4,2,1,1,7,1257,1257,4,1290,871,3,3,8,1,2,570,2,0,6,2008,0.0,3.0,2161.0,85.0,201803.43445692884,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,230500,230216.66666666666,283.33333333334303
50,7030,2,4,1925,1950,0,0,1,2,2,1,1,7,641,641,3,641,0,2,2,4,0,0,272,2,184,3,2006,0.0,1.0,641.0,71.0,103752.90322580644,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,85000,112900.0,27900.0
0,7920,4,6,1920,1950,0,0,2,2,2,1,1,7,319,319,1,1035,371,3,2,6,0,0,0,0,0,3,2008,0.0,1.0,1406.0,145.0,103752.90322580644,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,89500,104900.0,15400.0
100,15263,3,3,1959,1959,90,0,1,4,2,1,3,6,656,1422,3,1675,0,3,1,8,2,4,365,2,0,5,2010,0.0,2.0,1675.0,133.0,208662.0909090909,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,173000,191500.0,18500.0
0,9450,2,3,1957,1957,160,0,1,2,2,1,4,2,265,1040,1,1362,0,3,1,6,1,4,768,2,0,5,2009,1.0,1.0,1362.0,85.0,145097.34988713317,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,140000,149958.33333333334,9958.333333333343
70,8750,4,3,1998,1998,120,0,1,4,2,1,6,3,322,928,4,928,844,3,1,7,1,2,492,2,150,4,2009,1.0,3.0,1772.0,97.0,201803.43445692884,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,200000,212833.33333333334,12833.333333333343
70,10512,4,4,1954,1954,0,0,1,2,2,1,4,2,497,988,4,988,638,3,3,6,0,0,332,2,366,5,2007,0.0,2.0,1626.0,0.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,154000,134400.0,19600.0
113,21281,3,2,1935,2007,0,0,1,2,3,1,1,7,666,666,3,1308,1778,4,3,9,0,0,1200,2,0,11,2007,0.0,4.0,3086.0,498.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,301600,203083.33333333334,98516.66666666666
77,11422,7,3,2007,2008,352,2,1,5,2,3,6,3,479,1838,4,1838,0,3,3,7,2,4,524,2,154,4,2009,1.0,2.0,1838.0,223.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,272500,291173.1666666667,18673.166666666686
75,7500,3,3,1963,1963,0,0,1,2,2,1,5,1,216,1040,2,1040,0,3,1,5,0,0,308,2,0,6,2010,1.0,2.0,1040.0,221.0,136751.1523178808,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,133000,135250.0,2250.0
35,3675,4,3,2005,2006,82,0,1,4,2,4,6,3,0,547,3,1072,0,2,1,5,0,0,525,2,0,10,2006,1.0,1.0,1072.0,45.0,130843.38144329896,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,142500,128483.33333333333,14016.666666666672
0,9316,3,3,1965,1965,0,0,1,2,2,1,3,6,480,1024,3,1020,0,3,1,5,0,0,288,2,171,5,2009,0.0,2.0,1020.0,0.0,136751.1523178808,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,124100,108666.66666666667,15433.333333333328
93,11160,6,3,1968,1968,0,2,1,2,2,1,5,1,1045,2110,4,2110,0,3,4,8,2,2,522,2,0,4,2010,1.0,3.0,2110.0,0.0,145097.34988713317,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,244000,150083.33333333334,93916.66666666666
50,5119,8,3,1999,2000,60,2,1,5,2,3,6,3,460,1698,4,1709,0,2,3,5,1,2,506,2,97,1,2008,1.0,2.0,1709.0,66.0,229707.32417582412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,328900,214483.33333333334,114416.66666666666
0,26142,3,6,1962,1962,189,0,1,2,2,1,3,6,595,1188,1,1188,0,3,1,6,0,0,312,2,261,4,2010,0.0,1.0,1188.0,40.0,162226.63157894736,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,157900,186500.0,28600.0
60,6060,3,8,1930,2007,0,2,1,2,2,1,5,1,100,837,4,1001,0,2,3,5,0,0,216,1,154,11,2007,0.0,1.0,1001.0,129.0,103752.90322580644,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,124900,117225.0,7675.0
21,1484,2,2,1972,1972,0,0,1,2,2,1,3,6,294,546,1,546,546,3,1,5,0,0,253,3,0,5,2006,0.0,2.0,1092.0,0.0,95756.48648648648,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,79400,87290.0,7890.0
