MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Bsmt_Baths,Baths,Total_SF_Floors,Pool_Presence,Porch_Presence,Porch_Area,Mean_Price_Neigh
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85,10176,1,0,Regular,Lvl,1,Inside,Gtl,Gilbert,Norm,1,OneFam,One_Story,6,3,1990,1990,Gable,1,HdBoard,HdBoard,None,0,0,1,PConc,4,2,4,6,3,1,0,663,1300,GasA,3,Y,1341,0,0,2,1,3,5,Typ,1,1,Attchd,Unf,506,2,2,Paved,192,None,0,2,2010,WD ,Normal,171500,1.0,2.0,1341.0,0.0,0.0,0.0,190646.57575757575
One_Story_PUD_1946_and_Newer,Residential_Low_Density,0,6820,1,0,Slightly_Irregular,Lvl,1,Corner,Gtl,Stone_Brook,Norm,1,TwnhsE,One_Story,7,3,1985,1985,Gable,1,HdBoard,HdBoard,None,0,2,1,PConc,4,2,3,6,3,4,1120,0,1488,GasA,1,Y,1502,0,0,1,1,3,4,Typ,0,0,Attchd,RFn,528,2,2,Paved,0,None,0,6,2010,WD ,Normal,212000,1.0,2.0,1502.0,0.0,1.0,54.0,324229.1960784314
Two_Story_1946_and_Newer,Residential_Low_Density,47,53504,1,0,Moderately_Irregular,HLS,1,CulDSac,Mod,Stone_Brook,Norm,1,OneFam,Two_Story,7,3,2003,2003,Hip,1,CemntBd,Wd Shng,BrkFace,603,3,1,PConc,4,2,4,5,1,1,0,234,1650,GasA,4,Y,1690,1589,0,4,1,4,12,Mod,1,4,BuiltIn,Fin,841,2,2,Paved,503,None,0,6,2010,WD ,Normal,538000,1.0,4.0,3279.0,0.0,1.0,36.0,324229.1960784314
One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,152,12134,1,0,Slightly_Irregular,Bnk,1,Inside,Mod,Gilbert,Norm,1,OneFam,One_and_Half_Fin,7,6,1988,2005,Gable,1,Wd Sdng,Wd Sdng,None,0,2,1,Wood,4,2,3,6,3,1,0,132,559,GasA,3,Y,1080,672,0,4,1,1,8,Typ,0,0,Basment,RFn,492,2,2,Paved,325,None,0,6,2010,WD ,Normal,164000,0.0,2.0,1752.0,0.0,1.0,13.0,190646.57575757575
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,88,11394,1,0,Regular,Lvl,1,Corner,Gtl,Stone_Brook,Norm,1,OneFam,One_Story,8,1,2010,2010,Hip,1,VinylSd,VinylSd,Stone,350,2,1,PConc,5,2,3,6,3,1,0,411,1856,GasA,4,Y,1856,0,0,1,1,4,8,Typ,1,5,Attchd,Fin,834,2,2,Paved,113,None,0,6,2010,New,Partial,394432,1.0,2.0,1856.0,0.0,0.0,0.0,324229.1960784314
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,140,19138,1,0,Regular,Lvl,1,Corner,Gtl,Gilbert,Norm,1,OneFam,One_Story,2,3,1951,1951,Gable,1,VinylSd,VinylSd,None,0,0,1,CBlock,2,2,1,2,4,1,0,744,864,GasA,4,Y,864,0,0,2,1,1,4,Typ,0,0,Detchd,Unf,400,2,2,Paved,0,None,0,6,2010,WD ,Normal,141000,0.0,1.0,864.0,0.0,0.0,0.0,190646.57575757575
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85,13175,1,0,Regular,Lvl,1,Inside,Gtl,Northwest_Ames,Norm,1,OneFam,One_Story,4,4,1978,1988,Gable,1,Plywood,Plywood,Stone,119,0,1,CBlock,4,2,1,5,1,3,163,589,1542,GasA,1,Y,2073,0,0,3,1,1,7,Min1,2,2,Attchd,Unf,500,2,2,Paved,349,None,0,2,2010,WD ,Normal,210000,1.0,2.0,2073.0,0.0,0.0,0.0,188406.90839694656
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,105,11751,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Northwest_Ames,Norm,1,OneFam,One_Story,4,4,1977,1977,Hip,1,Plywood,Plywood,BrkFace,480,0,1,CBlock,4,2,1,4,2,1,0,1139,1844,GasA,4,Y,1844,0,0,3,1,1,7,Typ,1,2,Attchd,RFn,546,2,2,Paved,0,None,0,1,2010,COD,Normal,190000,0.0,2.0,1844.0,0.0,1.0,123.0,188406.90839694656
Split_Foyer,Residential_Low_Density,85,10625,1,0,Regular,Lvl,1,Inside,Gtl,Northwest_Ames,Norm,1,OneFam,SFoyer,6,4,1974,1974,Gable,1,Plywood,Plywood,BrkFace,81,0,1,CBlock,4,2,4,6,3,2,168,0,1053,GasA,1,Y,1173,0,0,3,1,3,6,Typ,2,2,Attchd,RFn,528,2,2,Paved,0,None,0,1,2010,WD ,Family,170000,1.0,2.0,1173.0,0.0,1.0,121.0,188406.90839694656
Two_Story_1946_and_Newer,Floating_Village_Residential,0,7500,1,0,Regular,Lvl,1,Inside,Gtl,Somerset,Norm,1,OneFam,Two_Story,6,3,2000,2000,Gable,1,VinylSd,VinylSd,None,0,2,1,PConc,4,2,1,6,3,1,0,281,814,GasA,4,Y,814,860,0,3,1,3,7,Typ,0,0,Attchd,RFn,663,2,2,Paved,0,None,0,1,2010,WD ,Normal,216000,1.0,3.0,1674.0,0.0,1.0,97.0,229707.32417582418
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,11241,1,0,Slightly_Irregular,Lvl,1,CulDSac,Gtl,North_Ames,Norm,1,OneFam,One_Story,4,6,1970,1970,Gable,1,Wd Sdng,Wd Sdng,BrkFace,180,0,1,CBlock,2,2,1,5,1,1,0,426,1004,GasA,4,Y,1004,0,0,2,1,1,5,Typ,1,2,Attchd,Fin,480,2,2,Paved,0,Shed,700,3,2010,WD ,Normal,149000,1.0,1.0,1004.0,0.0,0.0,0.0,145097.34988713317
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,12537,1,0,Slightly_Irregular,Lvl,1,CulDSac,Gtl,North_Ames,Norm,1,OneFam,One_Story,3,4,1971,2008,Gable,1,VinylSd,VinylSd,None,0,0,1,CBlock,2,2,1,6,3,1,0,344,1078,GasA,4,Y,1078,0,0,3,1,1,6,Typ,1,3,Attchd,Fin,500,2,2,Paved,0,None,0,4,2010,WD ,Normal,149900,1.0,2.0,1078.0,0.0,0.0,0.0,145097.34988713317
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,8450,1,0,Regular,Lvl,1,Inside,Gtl,North_Ames,Norm,1,OneFam,One_Story,3,4,1968,1968,Gable,1,VinylSd,VinylSd,None,0,0,1,CBlock,2,2,1,4,2,1,0,281,1056,GasA,4,Y,1056,0,0,3,1,1,6,Typ,1,3,Attchd,Unf,304,2,2,Paved,0,None,0,7,2010,WD ,Normal,142000,1.0,1.0,1056.0,0.0,1.0,270.0,145097.34988713317
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,8400,1,0,Regular,Lvl,1,Corner,Gtl,North_Ames,Norm,1,OneFam,One_Story,2,3,1970,1970,Gable,1,Plywood,Plywood,None,0,0,1,CBlock,2,2,1,5,1,3,78,0,882,GasA,1,Y,882,0,0,2,1,1,4,Typ,0,0,Attchd,Fin,525,2,2,Paved,240,None,0,4,2010,WD ,Normal,126000,1.0,1.0,882.0,0.0,0.0,0.0,145097.34988713317
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,10500,1,0,Regular,Lvl,1,FR2,Gtl,North_Ames,Norm,1,OneFam,One_Story,2,3,1971,1971,Gable,1,HdBoard,HdBoard,None,0,0,1,CBlock,2,2,1,5,1,1,0,432,864,GasA,1,Y,864,0,0,3,1,1,5,Typ,1,1,No_Garage,No_Garage,0,0,0,Paved,0,None,0,4,2010,ConLI,Normal,115000,0.0,1.0,864.0,0.0,0.0,0.0,145097.34988713317
One_Story_PUD_1946_and_Newer,Residential_High_Density,26,5858,1,0,Slightly_Irregular,Lvl,1,FR2,Gtl,North_Ames,Norm,1,TwnhsE,One_Story,6,3,1999,1999,Gable,1,MetalSd,MetalSd,None,0,2,1,PConc,4,2,1,6,3,4,0,354,1405,GasA,4,Y,1337,0,0,2,1,3,5,Typ,1,3,Attchd,Fin,511,2,2,Paved,203,None,0,6,2010,WD ,Normal,184000,1.0,2.0,1337.0,0.0,1.0,69.0,145097.34988713317
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,1,0,Regular,Lvl,1,Inside,Gtl,Briardale,Norm,1,Twnhs,Two_Story,4,3,1971,1971,Gable,1,HdBoard,HdBoard,BrkFace,504,0,1,CBlock,2,2,1,3,6,1,0,327,483,GasA,1,Y,483,504,0,2,1,1,5,Typ,0,0,Detchd,Unf,264,2,2,Paved,275,None,0,2,2010,COD,Normal,96000,0.0,2.0,987.0,0.0,0.0,0.0,105608.33333333333
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,1,0,Regular,Lvl,1,Inside,Gtl,Briardale,Norm,1,Twnhs,Two_Story,3,3,1971,1971,Gable,1,HdBoard,HdBoard,BrkFace,492,0,1,CBlock,2,2,1,3,6,1,0,225,525,GasA,1,Y,525,567,0,3,1,1,6,Typ,0,0,Detchd,Unf,320,2,2,Paved,0,None,0,3,2010,WD ,Normal,105500,0.0,2.0,1092.0,0.0,0.0,0.0,105608.33333333333
Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,1,0,Regular,Lvl,1,Inside,Gtl,Briardale,Norm,1,Twnhs,Two_Story,4,3,1971,1971,Gable,1,HdBoard,ImStucc,BrkFace,381,0,1,CBlock,2,2,1,1,7,1,0,525,525,GasA,1,Y,525,567,0,3,1,1,6,Typ,0,0,Detchd,Unf,264,2,2,Paved,0,None,0,3,2010,WD ,Family,88000,0.0,2.0,1092.0,0.0,0.0,0.0,105608.33333333333
One_Story_PUD_1946_and_Newer,Residential_Low_Density,53,4043,1,0,Regular,Lvl,1,Inside,Gtl,Northpark_Villa,Norm,1,TwnhsE,One_Story,4,3,1977,1977,Gable,1,Plywood,Plywood,None,0,0,1,CBlock,4,2,1,5,1,1,0,709,1069,GasA,1,Y,1069,0,0,2,1,1,4,Typ,1,3,Attchd,RFn,440,2,2,Paved,0,None,0,7,2010,WD ,Normal,127500,0.0,2.0,1069.0,0.0,1.0,55.0,140710.86956521738
Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,1,0,Regular,Lvl,1,FR2,Gtl,Northpark_Villa,Norm,1,Twnhs,Two_Story,4,4,1975,1975,Gable,1,Plywood,Brk Cmn,None,0,0,1,CBlock,2,2,1,5,1,1,0,341,855,GasA,1,Y,855,601,0,3,1,3,6,Typ,1,2,Attchd,Unf,440,2,2,Paved,173,None,0,6,2010,WD ,Normal,149900,0.0,3.0,1456.0,0.0,0.0,0.0,140710.86956521738
One_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,1,0,Regular,Lvl,1,FR2,Gtl,Northpark_Villa,Norm,1,Twnhs,One_Story,6,4,1975,1975,Gable,1,Plywood,Brk Cmn,None,0,0,1,CBlock,4,2,1,1,7,1,0,836,836,GasA,4,Y,836,0,0,2,1,1,4,Typ,0,0,Attchd,Unf,308,2,2,Paved,0,None,0,6,2010,WD ,Normal,120000,0.0,1.0,836.0,0.0,1.0,31.0,140710.86956521738
Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,1,0,Regular,Lvl,1,Inside,Gtl,Northpark_Villa,Norm,1,Twnhs,Two_Story,4,3,1978,1978,Gable,1,Plywood,Brk Cmn,None,0,0,1,CBlock,4,2,1,5,1,1,0,544,855,GasA,2,Y,855,601,0,3,1,1,7,Typ,1,2,Attchd,Unf,440,2,2,Paved,26,None,0,7,2010,WD ,Normal,146000,0.0,3.0,1456.0,0.0,0.0,0.0,140710.86956521738
Two_Story_1946_and_Newer,Residential_Low_Density,102,12858,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,OneFam,Two_Story,8,3,2009,2010,Gable,1,VinylSd,VinylSd,Stone,162,3,1,PConc,5,2,1,1,7,1,0,1590,1590,GasA,4,Y,1627,707,0,3,1,4,10,Typ,1,4,Attchd,Fin,751,2,2,Paved,144,None,0,1,2010,New,Partial,376162,0.0,3.0,2334.0,0.0,1.0,134.0,322018.265060241
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,98,11478,1,0,Regular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,OneFam,One_Story,7,3,2007,2008,Gable,1,VinylSd,VinylSd,Stone,200,2,1,PConc,5,2,1,6,3,1,0,486,1704,GasA,4,Y,1704,0,0,3,1,3,7,Typ,1,4,Attchd,RFn,772,2,2,Paved,0,None,0,5,2010,WD ,Normal,306000,1.0,2.0,1704.0,0.0,1.0,51.0,322018.265060241
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,83,10159,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,OneFam,One_Story,8,3,2009,2010,Hip,1,VinylSd,VinylSd,Stone,450,3,1,PConc,5,2,3,6,3,1,0,284,1930,GasA,4,Y,1940,0,0,3,1,4,8,Typ,1,4,Attchd,Fin,606,2,2,Paved,168,None,0,4,2010,New,Partial,395192,1.0,3.0,1940.0,0.0,1.0,96.0,322018.265060241
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,94,12883,1,0,Slightly_Irregular,Lvl,1,Corner,Gtl,Northridge_Heights,Norm,1,OneFam,One_Story,7,3,2009,2010,Gable,1,VinylSd,VinylSd,Stone,256,2,1,PConc,4,2,1,1,7,1,0,1544,1544,GasA,4,Y,1544,0,0,3,1,3,7,Typ,0,0,Attchd,RFn,868,2,2,Paved,0,None,0,6,2010,New,Partial,290941,0.0,2.0,1544.0,0.0,1.0,36.0,322018.265060241
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,95,12182,1,0,Regular,Lvl,1,Corner,Gtl,Northridge_Heights,Norm,1,OneFam,One_Story,6,3,2005,2005,Gable,1,VinylSd,VinylSd,BrkFace,226,2,1,PConc,4,2,2,4,2,1,0,340,1541,GasA,4,Y,1541,0,0,3,1,3,7,Typ,1,4,Attchd,RFn,532,2,2,Paved,0,None,0,5,2010,New,Partial,220000,0.0,2.0,1541.0,0.0,1.0,71.0,322018.265060241
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,90,11520,1,0,Regular,Lvl,1,Inside,Gtl,Northridge_Heights,PosN,1,OneFam,One_Story,8,3,2005,2005,Hip,1,VinylSd,VinylSd,BrkFace,615,2,1,PConc,5,2,1,6,3,1,0,1588,1698,GasA,4,Y,1698,0,0,3,1,4,7,Typ,1,4,Attchd,Fin,730,2,2,Paved,192,None,0,6,2010,WD ,Normal,275000,0.0,2.0,1698.0,0.0,1.0,75.0,322018.265060241
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,79,14122,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,OneFam,One_Story,7,3,2005,2006,Hip,1,CemntBd,CmentBd,BrkFace,240,2,1,PConc,5,2,1,6,3,1,0,1794,1822,GasA,4,Y,1822,0,0,3,1,4,8,Typ,1,4,Attchd,RFn,678,2,2,Paved,0,None,0,2,2010,WD ,Normal,259000,0.0,2.0,1822.0,0.0,1.0,120.0,322018.265060241
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,10171,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,OneFam,One_Story,6,3,2004,2004,Gable,1,VinylSd,VinylSd,BrkFace,168,2,1,PConc,4,2,1,6,3,1,0,1515,1517,GasA,4,Y,1535,0,0,3,1,3,7,Typ,0,0,Attchd,RFn,532,2,2,Paved,0,None,0,3,2010,WD ,Normal,214000,0.0,2.0,1535.0,0.0,0.0,0.0,322018.265060241
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,100,12919,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,OneFam,One_Story,8,3,2009,2010,Hip,1,VinylSd,VinylSd,Stone,760,3,1,PConc,5,2,4,6,3,1,0,142,2330,GasA,4,Y,2364,0,0,2,1,4,11,Typ,2,4,Attchd,Fin,820,2,2,Paved,0,None,0,3,2010,New,Partial,611657,1.0,3.0,2364.0,0.0,1.0,68.0,322018.265060241
One_Story_PUD_1946_and_Newer,Residential_Low_Density,44,6371,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,TwnhsE,One_Story,6,3,2009,2010,Gable,1,VinylSd,VinylSd,Stone,128,2,1,PConc,4,2,2,6,3,1,0,625,1358,GasA,4,Y,1358,0,0,2,1,3,6,Typ,1,4,Attchd,RFn,484,2,2,Paved,192,None,0,6,2010,New,Partial,224000,1.0,2.0,1358.0,0.0,1.0,36.0,322018.265060241
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,110,14300,1,0,Regular,HLS,1,Inside,Mod,Northridge_Heights,Norm,1,OneFam,One_Story,8,3,2003,2004,Hip,1,VinylSd,VinylSd,BrkFace,1095,3,1,PConc,5,2,4,6,3,1,0,1473,2846,GasA,4,Y,2696,0,0,3,1,4,10,Typ,2,4,Attchd,Fin,958,2,2,Paved,220,None,0,6,2010,WD ,Normal,500000,1.0,3.0,2696.0,0.0,1.0,151.0,322018.265060241
Two_Story_1946_and_Newer,Residential_Low_Density,105,13650,1,0,Regular,Lvl,1,Corner,Gtl,Northridge_Heights,Norm,1,OneFam,Two_Story,7,3,2002,2002,Gable,1,VinylSd,VinylSd,BrkFace,232,2,1,PConc,4,2,4,6,3,1,0,1093,1671,GasA,4,Y,1687,563,0,3,1,3,7,Typ,1,5,Attchd,Fin,756,2,2,Paved,238,None,0,6,2010,WD ,Normal,320000,1.0,3.0,2250.0,0.0,1.0,131.0,322018.265060241
One_Story_PUD_1946_and_Newer,Residential_Low_Density,61,7658,1,0,Regular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,TwnhsE,One_Story,8,3,2005,2005,Hip,1,MetalSd,MetalSd,BrkFace,412,3,1,PConc,5,2,1,6,3,1,0,1296,1752,GasA,4,Y,1752,0,0,2,1,4,6,Typ,1,4,Attchd,RFn,576,2,2,Paved,196,None,0,2,2010,WD ,Normal,319900,1.0,2.0,1752.0,0.0,1.0,83.0,322018.265060241
One_Story_PUD_1946_and_Newer,Residential_Low_Density,41,7132,1,0,Slightly_Irregular,Lvl,1,Inside,Gtl,Northridge_Heights,Norm,1,TwnhsE,One_Story,7,3,2006,2006,Gable,1,VinylSd,VinylSd,Stone,178,2,1,PConc,4,2,2,6,3,1,0,1346,1370,GasA,4,Y,1370,0,0,2,1,3,6,Typ,1,4,Attchd,RFn,484,2,2,Paved,120,None,0,4,2010,WD ,Normal,205000,0.0,2.0,1370.0,0.0,1.0,50.0,322018.265060241
