Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,First_Flr_SF,Second_Flr_SF,Bedroom_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Area,Garage_Cond,Wood_Deck_SF,Mo_Sold,Year_Sold,Bsmt_Baths,Baths,Total_SF_Floors,Porch_Area,Mean_Price_Neigh,MS_SubClass_One_Story_1945_and_Older,MS_Zoning_Residential_Low_Density,Lot_Shape_Regular,Land_Contour_HLS,Lot_Config_Corner,Lot_Config_Inside,Land_Slope_Gtl,Roof_Style_Gable,Exterior_1st_Wd Sdng,Exterior_2nd_MetalSd,Exterior_2nd_VinylSd,Mas_Vnr_Type_Stone,Foundation_CBlock,Central_Air_N,Garage_Type_Attchd,Garage_Finish_RFn,Paved_Drive_Dirt_Gravel,Paved_Drive_Paved,Sale_Type_WD ,Sale_Condition_Abnorml,Sale_Condition_Family,Sale_Condition_Normal,Actual Value,Predicted Value,Difference
52,6292,6,6,1928,1950,0,0,1,2,2,1,1,7,861,861,3,877,600,3,1,6,1,4,216,2,0,8,2009,1.0,2.0,1477.0,51.0,135071.9375,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,145000,103526.15584415584,41473.844155844155
72,10773,2,5,1967,1967,72,1,2,2,2,1,5,1,1128,1832,1,1832,0,4,1,8,0,0,0,0,0,5,2010,2.0,2.0,1832.0,59.0,136751.1523178808,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,136000,139674.2048192771,3674.2048192771035
0,2998,4,3,2000,2000,513,2,1,4,2,1,6,3,403,756,4,768,756,2,3,4,0,0,440,2,0,6,2006,0.0,3.0,1524.0,33.0,229707.32417582412,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,166000,174186.35519125682,8186.355191256822
105,8470,5,1,1915,1982,0,1,2,2,3,1,1,7,1013,1013,1,1013,0,2,2,6,0,0,0,0,0,10,2009,0.0,1.0,1013.0,157.0,103752.90322580644,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,85000,103526.15584415584,18526.155844155845
0,7750,6,3,2000,2000,0,0,1,4,2,1,6,3,134,384,4,774,656,3,1,7,1,2,400,2,180,4,2010,0.0,3.0,1430.0,0.0,190646.5757575757,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,180000,174186.35519125682,5813.644808743178
75,9750,4,4,1958,1958,243,0,1,2,2,1,3,6,834,1442,3,1442,0,4,1,7,0,0,301,2,0,4,2007,0.0,2.0,1442.0,276.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,157900,163127.15,5227.149999999994
79,10208,6,3,1996,1997,921,2,1,4,2,1,1,7,1264,1264,4,1277,1067,3,3,7,1,2,889,2,220,7,2009,0.0,3.0,2344.0,0.0,330319.1267605634,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,265000,253089.22727272726,11910.772727272735
80,9760,4,4,1964,1964,360,0,1,2,2,4,6,3,0,780,1,798,813,4,1,7,0,0,442,2,328,6,2008,1.0,2.0,1611.0,128.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,167900,149307.8651685393,18592.134831460688
0,10784,6,3,1991,1992,76,2,1,4,2,1,1,7,384,384,3,802,670,3,3,7,1,2,402,2,164,5,2007,0.0,3.0,1472.0,0.0,190646.5757575757,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,160000,174186.35519125682,14186.355191256822
76,8243,3,6,1961,1961,56,0,3,2,2,1,5,1,264,964,4,964,0,3,1,5,1,3,784,2,170,2,2007,0.0,1.0,964.0,0.0,145097.34988713317,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,137500,131364.54104477612,6135.458955223876
100,9500,4,4,1964,1978,272,0,1,2,2,1,3,6,374,816,1,1127,850,4,1,9,1,2,540,2,0,6,2007,1.0,2.0,1977.0,53.0,145097.34988713317,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,165000,149307.8651685393,15692.134831460688
0,11029,4,6,1968,1984,220,0,1,2,2,2,4,2,435,1054,1,1512,1142,4,3,9,1,4,619,2,0,8,2006,1.0,3.0,2654.0,65.0,188406.90839694656,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,250000,213765.8,36234.20000000001
80,8800,4,6,1965,2000,0,0,3,2,2,2,5,1,34,1187,4,1565,0,3,3,7,2,2,299,2,200,6,2006,1.0,2.0,1565.0,237.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,185900,163127.15,22772.850000000006
0,4765,8,3,2000,2000,260,2,1,4,2,3,6,3,587,1614,4,1638,0,2,4,5,1,2,495,2,230,7,2008,1.0,2.0,1638.0,69.0,229707.32417582412,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,300000,303457.05263157893,3457.052631578932
0,11120,4,4,1984,1984,0,0,1,4,2,1,4,2,572,1232,1,1232,0,3,1,6,0,0,516,2,0,6,2008,0.0,2.0,1232.0,0.0,248314.5833333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,162500,174186.35519125682,11686.355191256822
50,7689,3,7,1972,1972,0,0,1,4,2,3,6,3,0,796,3,796,0,2,1,4,0,0,336,2,138,7,2009,1.0,1.0,796.0,0.0,162226.63157894736,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,131900,143238.88095238095,11338.880952380947
75,9533,3,3,1953,1953,140,0,1,0,0,0,0,5,0,0,1,1210,0,2,1,7,0,0,616,2,208,8,2009,0.0,2.0,1210.0,101.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,102900,112702.48913043478,9802.489130434784
44,7390,8,3,2008,2009,308,3,1,5,2,1,6,3,1084,1884,4,1884,0,2,4,6,1,4,649,2,231,5,2009,1.0,2.0,1884.0,91.0,322018.265060241,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,320000,353523.36842105264,33523.36842105264
30,3180,6,3,2007,2007,0,2,1,4,2,1,1,7,689,689,4,703,689,2,3,5,0,0,540,2,0,3,2008,0.0,2.0,1392.0,103.0,229707.32417582412,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,146000,174186.35519125682,28186.355191256822
93,10481,7,3,2006,2007,0,2,1,4,2,3,1,7,2140,2140,4,2140,0,3,3,8,0,0,894,2,136,6,2007,0.0,3.0,2140.0,33.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,360000,538000.0,178000.0
60,7200,6,4,1931,2000,0,0,2,4,2,1,1,7,776,776,1,851,651,3,1,6,1,4,270,2,0,2,2008,0.0,2.0,1502.0,113.0,207550.83495145632,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,149000,174186.35519125682,25186.355191256822
0,11382,4,3,1964,1964,212,0,1,2,2,1,5,1,533,1130,1,1374,0,3,1,7,1,2,286,2,0,8,2007,1.0,1.0,1374.0,113.0,145097.34988713317,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,147000,163127.15,16127.149999999994
60,7200,3,6,1951,2000,0,0,1,2,2,2,4,2,180,900,1,900,0,3,3,5,0,0,576,2,222,5,2010,1.0,1.0,900.0,33.0,145097.34988713317,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,134800,131364.54104477612,3435.458955223876
68,8846,4,3,2005,2006,0,0,1,4,2,1,1,7,750,750,4,750,750,3,3,6,0,0,564,2,0,8,2006,0.0,3.0,1500.0,36.0,201803.43445692884,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,173900,174186.35519125682,286.35519125682185
54,9399,6,7,1919,1950,0,0,1,2,2,2,1,7,818,818,1,818,818,4,3,7,1,4,288,2,0,9,2006,0.0,2.0,1636.0,213.0,207550.83495145632,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,167000,174186.35519125682,7186.355191256822
83,13159,6,3,2009,2009,0,0,1,5,2,3,1,7,846,846,3,846,846,3,3,6,0,0,650,2,208,7,2009,0.0,3.0,1692.0,115.0,246599.54166666663,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,224500,174186.35519125682,50313.64480874318
71,9204,3,3,1963,1963,0,0,1,2,2,1,4,2,247,1144,1,1144,0,3,1,6,0,0,336,2,0,8,2008,1.0,2.0,1144.0,89.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,124000,131364.54104477612,7364.541044776124
41,10905,6,3,2003,2003,0,2,1,4,2,1,1,7,1129,1129,4,1129,1198,4,3,9,1,4,596,2,0,8,2008,0.0,3.0,2327.0,58.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,240000,253089.22727272726,13089.227272727265
37,3316,7,3,2005,2005,0,2,1,4,2,1,6,3,208,1247,4,1247,0,1,3,4,1,4,550,2,0,4,2006,1.0,2.0,1247.0,85.0,229707.32417582412,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,197000,194003.7,2996.2999999999884
0,10400,6,3,2001,2001,227,2,1,4,2,1,1,7,1257,1257,4,1290,871,3,3,8,1,2,570,2,0,6,2008,0.0,3.0,2161.0,85.0,201803.43445692884,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,230500,253089.22727272726,22589.227272727265
50,7030,2,4,1925,1950,0,0,1,2,2,1,1,7,641,641,3,641,0,2,2,4,0,0,272,2,184,3,2006,0.0,1.0,641.0,71.0,103752.90322580644,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,85000,98552.12389380531,13552.123893805314
0,7920,4,6,1920,1950,0,0,2,2,2,1,1,7,319,319,1,1035,371,3,2,6,0,0,0,0,0,3,2008,0.0,1.0,1406.0,145.0,103752.90322580644,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,89500,103526.15584415584,14026.155844155845
100,15263,3,3,1959,1959,90,0,1,4,2,1,3,6,656,1422,3,1675,0,3,1,8,2,4,365,2,0,5,2010,0.0,2.0,1675.0,133.0,208662.0909090909,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,173000,169210.86956521738,3789.1304347826226
0,9450,2,3,1957,1957,160,0,1,2,2,1,4,2,265,1040,1,1362,0,3,1,6,1,4,768,2,0,5,2009,1.0,1.0,1362.0,85.0,145097.34988713317,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,140000,139674.2048192771,325.7951807228965
70,8750,4,3,1998,1998,120,0,1,4,2,1,6,3,322,928,4,928,844,3,1,7,1,2,492,2,150,4,2009,1.0,3.0,1772.0,97.0,201803.43445692884,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,200000,215805.91025641025,15805.91025641025
70,10512,4,4,1954,1954,0,0,1,2,2,1,4,2,497,988,4,988,638,3,3,6,0,0,332,2,366,5,2007,0.0,2.0,1626.0,0.0,130843.38144329896,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,154000,149307.8651685393,4692.134831460688
113,21281,3,2,1935,2007,0,0,1,2,3,1,1,7,666,666,3,1308,1778,4,3,9,0,0,1200,2,0,11,2007,0.0,4.0,3086.0,498.0,145097.34988713317,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,301600,312675.0,11075.0
77,11422,7,3,2007,2008,352,2,1,5,2,3,6,3,479,1838,4,1838,0,3,3,7,2,4,524,2,154,4,2009,1.0,2.0,1838.0,223.0,201803.43445692884,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,272500,272497.34,2.6599999999743886
75,7500,3,3,1963,1963,0,0,1,2,2,1,5,1,216,1040,2,1040,0,3,1,5,0,0,308,2,0,6,2010,1.0,2.0,1040.0,221.0,136751.1523178808,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,133000,131364.54104477612,1635.4589552238758
35,3675,4,3,2005,2006,82,0,1,4,2,4,6,3,0,547,3,1072,0,2,1,5,0,0,525,2,0,10,2006,1.0,1.0,1072.0,45.0,130843.38144329896,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,142500,131364.54104477612,11135.458955223876
0,9316,3,3,1965,1965,0,0,1,2,2,1,3,6,480,1024,3,1020,0,3,1,5,0,0,288,2,171,5,2009,0.0,2.0,1020.0,0.0,136751.1523178808,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,124100,131364.54104477612,7264.541044776124
93,11160,6,3,1968,1968,0,2,1,2,2,1,5,1,1045,2110,4,2110,0,3,4,8,2,2,522,2,0,4,2010,1.0,3.0,2110.0,0.0,145097.34988713317,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,244000,163127.15,80872.85
50,5119,8,3,1999,2000,60,2,1,5,2,3,6,3,460,1698,4,1709,0,2,3,5,1,2,506,2,97,1,2008,1.0,2.0,1709.0,66.0,229707.32417582412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,328900,303457.05263157893,25442.947368421068
0,26142,3,6,1962,1962,189,0,1,2,2,1,3,6,595,1188,1,1188,0,3,1,6,0,0,312,2,261,4,2010,0.0,1.0,1188.0,40.0,162226.63157894736,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,157900,143238.88095238095,14661.119047619053
60,6060,3,8,1930,2007,0,2,1,2,2,1,5,1,100,837,4,1001,0,2,3,5,0,0,216,1,154,11,2007,0.0,1.0,1001.0,129.0,103752.90322580644,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,124900,103526.15584415584,21373.844155844155
