iter	RMSE
366	14193.08621
367	14185.59026
368	14169.77374
369	14150.44097
370	14143.3484
371	14142.02803
372	14126.41087
373	14122.61563
374	14100.91967
375	14099.82971
376	14098.45871
377	14080.70439
378	14076.50602
379	14066.28358
380	14065.45558
381	14045.23349
382	14033.46359
383	14024.27133
384	14000.40182
385	13999.38851
386	13998.39692
387	13982.91921
388	13982.08053
389	13979.99841
390	13968.66905
391	13964.69903
392	13954.68332
393	13937.94946
394	13930.73526
395	13920.6089
396	13919.56279
397	13892.87283
398	13884.0112
399	13876.38944
400	13859.76703
401	13837.54428
402	13834.09388
403	13828.13202
404	13827.06372
405	13826.14628
406	13813.05471
407	13807.12659
408	13785.46023
409	13771.97362
410	13757.19665
411	13754.09272
412	13742.88052
413	13730.93125
414	13715.75843
415	13714.72055
416	13707.43668
417	13684.68667
418	13672.18551
419	13671.16908
420	13656.12306
421	13636.40806
422	13623.71341
423	13602.72871
424	13599.96898
425	13583.87197
426	13582.18291
427	13575.4424
428	13570.01501
429	13548.92908
430	13539.86882
431	13529.32555
432	13528.63662
433	13516.71767
434	13506.33619
435	13499.18502
436	13487.64189
437	13478.76129
438	13461.44061
439	13459.89853
440	13451.32247
441	13429.66557
442	13422.13445
443	13406.9714
444	13396.67242
445	13378.15734
446	13357.24377
447	13340.37409
448	13316.58229
449	13308.87536
450	13291.29592
451	13279.78958
452	13268.80159
453	13248.9898
454	13228.16189
455	13213.77473
456	13211.31671
457	13210.68615
458	13202.20799
459	13183.96781
460	13167.70319
461	13153.86372
462	13140.1814
463	13132.78643
464	13125.06359
465	13122.53069
466	13115.448
467	13109.32655
468	13094.04342
469	13087.46366
470	13074.56692
471	13055.96134
472	13038.0311
473	13031.47858
474	13009.52815
475	13001.19821
476	12994.42081
477	12982.83932
478	12975.6262
479	12970.8767
480	12954.7773
481	12945.80954
482	12919.0492
483	12906.77575
484	12898.84865
485	12895.78919
486	12890.66058
487	12889.7277
488	12881.10359
489	12879.33186
490	12862.13336
491	12852.21863
492	12848.29528
493	12832.26321
494	12830.54033
495	12824.16755
496	12816.67919
497	12813.76386
498	12801.37185
499	12792.1591
500	12791.75943
501	12781.74159
502	12779.62859
503	12772.39758
504	12766.39864
505	12759.88127
506	12748.97399
507	12738.9166
508	12727.52486
509	12726.79588
510	12706.5743
511	12693.57043
512	12683.06767
513	12679.9338
514	12669.43706
515	12644.70401
516	12639.05572
517	12624.73236
518	12622.27906
519	12608.68628
520	12598.17271
521	12589.38534
522	12564.2382
523	12557.34603
524	12555.13969
525	12551.27973
526	12534.75048
527	12531.85084
528	12524.92831
529	12523.50869
530	12514.53061
531	12493.67817
532	12484.80992
533	12478.38161
534	12466.57577
535	12451.80242
536	12437.06437
537	12429.61953
538	12419.74988
539	12399.86638
540	12394.41178
541	12388.66583
542	12383.3477
543	12369.8382
544	12353.25363
545	12342.87414
546	12338.24294
547	12333.22838
548	12331.2889
549	12324.93285
550	12316.89563
551	12313.68851
552	12311.77458
553	12302.70973
554	12289.9111
555	12283.19656
556	12273.31496
557	12269.19304
558	12256.56602
559	12255.01989
560	12254.50871
561	12246.67456
562	12237.22795
563	12233.57186
564	12233.11349
565	12232.39748
566	12227.79169
567	12215.2423
568	12204.08914
569	12200.23496
570	12191.92872
571	12177.58008
572	12177.05436
573	12171.04973
574	12161.39671
575	12154.75649
576	12154.26278
577	12149.34342
578	12146.33516
579	12145.05907
580	12139.05818
581	12127.15145
582	12105.66858
583	12085.82331
584	12083.82781
585	12075.78776
586	12071.65096
587	12063.48072
588	12056.47984
589	12054.30582
590	12051.50318
591	12034.44702
592	12027.79382
593	12019.02016
594	12015.54327
595	11997.30188
596	11989.42527
597	11967.15748
598	11960.21072
599	11953.26823
600	11940.23388
601	11935.79007
602	11934.18726
603	11926.11196
604	11917.4494
605	11900.08795
606	11897.03121
607	11888.49633
608	11877.01194
609	11864.75646
610	11849.82806
611	11844.12245
612	11837.91542
613	11824.21488
614	11815.56172
615	11791.72507
616	11780.32312
617	11774.85465
618	11768.75559
619	11752.65719
620	11752.34169
621	11743.42447
622	11743.07585
623	11724.44494
624	11723.44212
625	11721.09223
626	11715.77834
627	11696.55965
628	11683.28195
629	11677.79574
630	11668.04703
631	11662.98659
632	11653.93191
633	11641.75823
634	11636.09953
635	11618.57205
636	11603.13074
637	11600.80335
638	11599.69158
639	11587.47893
640	11572.27977
641	11571.10946
642	11564.46328
643	11561.21777
644	11549.27561
645	11543.23661
646	11536.56433
647	11524.21544
648	11514.94688
649	11510.61186
650	11493.39086
651	11490.97959
652	11481.8737
653	11470.05503
654	11458.35126
655	11455.24113
656	11446.5184
657	11437.12474
658	11436.79326
659	11431.15734
660	11421.43357
661	11404.71955
662	11391.28711
663	11379.95364
664	11375.66829
665	11375.12924
666	11362.93316
667	11353.95461
668	11351.84984
669	11344.44886
670	11339.07034
671	11330.85256
672	11321.81204
673	11313.60706
674	11307.85351
675	11296.72616
676	11288.50839
677	11280.6574
678	11269.82175
679	11256.80004
680	11251.67708
681	11244.6414
682	11233.24529
683	11223.86088
684	11214.18369
685	11206.97447
686	11192.7355
687	11187.8725
688	11176.60154
689	11169.05045
690	11164.41959
691	11160.42155
692	11143.64757
693	11133.4524
694	11126.51984
695	11119.73108
696	11112.89732
697	11107.66722
698	11101.58203
699	11093.01899
700	11086.31441
701	11077.20427
702	11068.71361
703	11050.62059
704	11042.29928
705	11036.98616
706	11034.44475
707	11019.83877
708	11008.56851
709	11004.90697
710	10992.63805
711	10990.02882
712	10980.28315
713	10969.45961
714	10968.71684
715	10958.69002
716	10956.15102
717	10952.48135
718	10948.89758
719	10947.94394
720	10940.06451
721	10932.90522
722	10922.17367
723	10915.10086
724	10913.50225
725	10903.00826
726	10900.25291
727	10895.60106
728	10882.14804
729	10872.72355
730	10855.32597
731	10837.55891
732	10835.46364
733	10822.82501
734	10818.59459
735	10817.67026
736	10811.18172
737	10797.20376
738	10788.9892
739	10780.88237
740	10775.37137
741	10774.28627
742	10773.21441
743	10771.34229
744	10767.83647
745	10767.11706
746	10763.15049
747	10754.53153
748	10750.53716
749	10744.14559
750	10730.29551
751	10728.40351
752	10726.39184
753	10722.37134
754	10720.77946
755	10719.89803
756	10710.74891
757	10704.07065
758	10694.31868
759	10680.3314
760	10677.86868
761	10673.58893
762	10670.16564
763	10666.70241
764	10647.50335
765	10639.91543
766	10638.96274
767	10635.85049
768	10626.70701
769	10613.4784
770	10607.12745
771	10594.7425
772	10585.74892
773	10575.93976
774	10575.46828
775	10563.73368
776	10557.64874
777	10556.09537
778	10546.76916
779	10537.24199
780	10530.79668
781	10529.64461
782	10526.77961
783	10523.41051
784	10523.08562
785	10518.86297
786	10508.42903
787	10498.61007
788	10496.05294
789	10487.28315
790	10478.6963
791	10464.71762
792	10461.11333
793	10460.65952
794	10455.07509
795	10451.15086
796	10444.11017
797	10428.27826
798	10417.50349
799	10412.49166
800	10403.00607
801	10397.03799
802	10395.91763
803	10390.4647
804	10388.28238
805	10376.30529
806	10370.07118
807	10364.29492
808	10360.57056
809	10351.18776
810	10346.99514
811	10338.64308
812	10331.03628
813	10330.55298
814	10322.91587
815	10321.67958
816	10321.26151
817	10306.0993
818	10300.3225
819	10294.26975
820	10290.48479
821	10287.17593
822	10283.43271
823	10279.78919
824	10273.68834
825	10272.10295
826	10271.67618
827	10262.64445
828	10261.32614
829	10257.49889
830	10256.72332
831	10246.72472
832	10238.65426
833	10228.89337
834	10228.439
835	10219.56436
836	10207.84309
837	10202.67679
838	10194.13004
839	10191.91177
840	10187.44837
841	10185.1801
842	10179.37635
843	10169.62047
844	10165.27917
845	10162.56931
846	10162.20425
847	10156.6762
848	10151.04215
849	10146.4593
850	10137.24557
851	10131.1181
852	10123.92488
853	10116.7698
854	10113.06502
855	10100.02446
856	10085.95824
857	10076.98329
858	10067.11604
859	10062.42416
860	10057.95172
861	10057.20477
862	10048.48707
863	10044.57311
864	10034.43554
865	10024.77616
866	10017.31397
867	10013.93215
868	10007.76858
869	9993.610301
870	9993.074193
871	9984.940638
872	9978.146116
873	9971.547311
874	9967.186504
875	9966.856428
876	9960.802691
877	9950.738724
878	9942.849863
879	9938.980314
880	9938.413536
881	9938.023102
882	9923.988809
883	9922.775961
884	9911.424252
885	9905.593597
886	9900.383676
887	9891.670065
888	9891.05649
889	9879.042163
890	9865.007491
891	9860.634586
892	9859.494153
893	9854.819713
894	9850.117213
895	9844.875941
896	9844.354915
897	9837.019798
898	9828.707014
899	9824.52296
900	9821.649248
901	9816.440641
902	9816.147916
903	9815.92154
904	9811.056678
905	9810.697234
906	9802.016189
907	9787.123936
908	9781.397716
909	9778.339849
910	9773.758931
911	9764.445374
912	9751.946821
913	9748.775033
914	9748.480711
915	9747.192037
916	9740.158904
917	9732.346323
918	9718.660349
919	9717.716985
920	9707.801843
921	9703.608877
922	9696.160517
923	9686.812309
924	9682.520983
925	9679.384026
926	9671.597955
927	9669.637958
928	9663.111674
929	9658.60074
930	9648.745218
931	9639.716204
932	9632.337447
933	9625.450633
934	9622.469934
935	9614.601643
936	9604.785169
937	9600.986472
938	9590.452083
939	9582.852822
940	9576.953821
941	9559.468069
942	9556.789251
943	9547.788593
944	9543.485427
945	9537.49087
946	9529.110864
947	9524.797643
948	9522.53281
949	9513.626373
950	9505.824673
951	9499.150745
952	9495.22655
953	9491.856046
954	9491.080367
955	9489.967697
956	9486.298745
957	9478.275028
958	9475.233753
959	9465.158561
960	9457.997971
961	9445.728736
962	9435.271395
963	9431.055521
964	9422.166388
965	9420.716445
966	9411.058382
967	9399.302172
968	9396.233756
969	9390.054374
970	9387.71915
971	9381.677045
972	9370.725011
973	9359.004279
974	9350.504547
975	9341.468002
976	9338.446308
977	9331.131975
978	9330.038538
979	9329.63722
980	9324.199157
981	9323.356378
982	9321.734513
983	9314.405364
984	9308.293415
985	9295.586397
986	9294.450169
987	9289.73308
988	9289.191311
989	9287.162918
990	9280.31485
991	9274.916564
992	9270.085474
993	9269.929262
994	9263.238017
995	9262.861127
996	9252.914211
997	9243.54813
998	9235.391818
999	9226.828146
